date;temp
2019-08-26;10,6
2019-08-25;16,5
2019-08-24;12,5
2019-08-23;15,1
2019-08-22;19,7
2019-08-21;18,6
2019-08-20;14,1
2019-08-19;17,1
2019-08-18;15
2019-08-17;15,8
2019-08-16;14,8
2019-08-15;18,2
2019-08-14;20,4
2019-08-13;13
2019-08-12;10,6
2019-08-11;13,4
2019-08-10;14,7
2019-08-09;19
2019-08-08;14,8
2019-08-07;11,9
2019-08-06;9,6
2019-08-05;7,8
2019-08-04;12,4
2019-08-03;12,8
2019-08-02;12,5
2019-08-01;12,2
2019-07-31;12,2
2019-07-30;12,1
2019-07-29;16,4
2019-07-28;23,4
2019-07-27;21,8
2019-07-26;17,9
2019-07-25;15,6
2019-07-24;17,1
2019-07-23;16,6
2019-07-22;16
2019-07-21;16
2019-07-20;13,9
2019-07-19;13,4
2019-07-18;15,3
2019-07-17;14,8
2019-07-16;11,9
2019-07-15;13,7
2019-07-14;13,1
2019-07-13;11,7
2019-07-12;11,9
2019-07-11;13,5
2019-07-10;15,8
2019-07-09;13,5
2019-07-08;14,7
2019-07-07;12,1
2019-07-06;15
2019-07-05;11,2
2019-07-04;12,8
2019-07-03;15,1
2019-07-02;20,9
2019-07-01;13,3
2019-06-30;11,4
2019-06-29;11,4
2019-06-28;14,5
2019-06-27;13,4
2019-06-26;14,9
2019-06-25;18,4
2019-06-24;19,5
2019-06-23;22,1
2019-06-22;21,5
2019-06-21;21,2
2019-06-20;19
2019-06-19;20,6
2019-06-18;20,6
2019-06-17;13,8
2019-06-16;13,7
2019-06-15;15,8
2019-06-14;13,6
2019-06-13;15,9
2019-06-12;17,6
2019-06-11;18,7
2019-06-10;23,1
2019-06-09;19,6
2019-06-08;19
2019-06-07;17,7
2019-06-06;17,6
2019-06-05;15,7
2019-06-04;10,8
2019-06-03;19
2019-06-02;12,6
2019-06-01;16,6
2019-05-31;16,5
2019-05-30;22,4
2019-05-29;21,6
2019-05-28;17,7
2019-05-27;15,4
2019-05-26;16,4
2019-05-25;11,8
2019-05-24;13,5
2019-05-23;17,4
2019-05-22;19,3
2019-05-21;11,6
2019-05-20;12,1
2019-05-19;11,6
2019-05-18;10,1
2019-05-17;11
2019-05-16;12,5
2019-05-15;14,8
2019-05-14;16,1
2019-05-13;17
2019-05-12;14,6
2019-05-11;18,8
2019-05-10;15,5
2019-05-09;11,8
2019-05-08;14,3
2019-05-07;10,9
2019-05-06;13,9
2019-05-05;7,1
2019-05-04;8,9
2019-05-03;9
2019-05-02;10,4
2019-05-01;4,1
2019-04-30;5,2
2019-04-29;4,2
2019-04-28;15
2019-04-27;15
2019-04-26;15,8
2019-04-25;11,6
2019-04-24;12,3
2019-04-23;8,9
2019-04-22;7,1
2019-04-21;7,9
2019-04-20;3,6
2019-04-19;6,4
2019-04-18;3,6
2019-04-17;4,5
2019-04-16;5
2019-04-15;0,7
2019-04-14;4,3
2019-04-13;2,9
2019-04-12;5,9
2019-04-11;3,8
2019-04-10;7,8
2019-04-09;11,1
2019-04-08;4,3
2019-04-07;-0,2
2019-04-06;3,4
2019-04-05;1
2019-04-04;2,6
2019-04-03;-0,8
2019-04-02;0,4
2019-04-01;8,3
2019-03-31;7
2019-03-30;2,7
2019-03-29;0,5
2019-03-28;-0,8
2019-03-27;0,2
2019-03-26;0,9
2019-03-25;0,1
2019-03-24;-1,7
2019-03-23;0,8
2019-03-22;2,4
2019-03-21;1,5
2019-03-20;2,9
2019-03-19;2,7
2019-03-18;1,6
2019-03-17;-0,1
2019-03-16;-0,3
2019-03-15;-0,5
2019-03-14;-8,8
2019-03-13;-3,4
2019-03-12;0,1
2019-03-11;2,7
2019-03-10;0,6
2019-03-09;2,5
2019-03-08;-2,4
2019-03-07;-8,7
2019-03-06;3,5
2019-03-05;1,6
2019-03-04;-7,9
2019-03-03;-7,2
2019-03-02;-6,5
2019-03-01;0,9
2019-02-28;-1,6
2019-02-27;0,1
2019-02-26;1,2
2019-02-25;0,5
2019-02-24;-5,9
2019-02-23;-7,5
2019-02-22;-8,3
2019-02-21;1,8
2019-02-20;-0,7
2019-02-19;-6,3
2019-02-18;-0,2
2019-02-17;1,2
2019-02-16;2,6
2019-02-15;-1,7
2019-02-14;-3,6
